bairro origem,bairro match
Aflitos,Encruzilhada
Aflitos,Espinheiro
Aflitos,Graças
Afogados,Bongi
Afogados,Cabanga
Afogados,Ilha Joana Bezerra
Afogados,Ilha do Retiro
Afogados,Imbiribeira
Afogados,Jiquiá
Afogados,Mangueira
Afogados,Mustardinha
Afogados,Pina
Afogados,Prado
Afogados,São José
Alto José Bonifácio,Alto José do Pinho
Alto José Bonifácio,Brejo de Beberibe
Alto José Bonifácio,Linha do Tiro
Alto José Bonifácio,Morro da Conceição
Alto José Bonifácio,Vasco da Gama
Alto José do Pinho,Bomba do Hemetério
Alto José do Pinho,Casa Amarela
Alto José do Pinho,Mangabeira
Alto José do Pinho,Morro da Conceição
Alto do Mandu,Apipucos
Alto do Mandu,Casa Amarela
Alto do Mandu,Macaxeira
Alto do Mandu,Monteiro
Alto do Mandu,Nova Descoberta
Apipucos,Caxangá
Apipucos,Córrego do Jenipapo
Apipucos,Dois Irmãos
Apipucos,Iputinga
Apipucos,Macaxeira
Apipucos,Monteiro
Areias,Barro
Areias,Caçote
Areias,Estância
Areias,Ibura
Areias,Imbiribeira
Areias,Ipsep
Areias,Jardim São Paulo
Areias,Jiquiá
Arruda,Bomba do Hemetério
Arruda,Campina do Barreto
Arruda,Campo Grande
Arruda,Mangabeira
Arruda,Peixinhos
Arruda,Ponto de Parada
Arruda,Rosarinho
Arruda,Tamarineira
Arruda,Água Fria
Barro,Ibura
Barro,Jardim São Paulo
Barro,Tejipió
Beberibe,Dois Unidos
Beberibe,Linha do Tiro
Beberibe,Porto da Madeira
Beberibe,Água Fria
Boa Viagem,Ibura
Boa Viagem,Imbiribeira
Boa Viagem,Jordão
Boa Viagem,Pina
Boa Vista,Coelhos
Boa Vista,Derby
Boa Vista,Espinheiro
Boa Vista,Graças
Boa Vista,Ilha do Leite
Boa Vista,Paissandu
Boa Vista,Santo Amaro
Boa Vista,Santo Antônio
Boa Vista,Soledade
Bomba do Hemetério,Mangabeira
Bomba do Hemetério,Água Fria
Bongi,Mustardinha
Bongi,Prado
Bongi,San Martin
Brasília Teimosa,Pina
Brasília Teimosa,Recife
Brasília Teimosa,São José
Brejo da Guabiraba,Brejo de Beberibe
Brejo da Guabiraba,Córrego do Jenipapo
Brejo da Guabiraba,Guabiraba
Brejo da Guabiraba,Nova Descoberta
Brejo da Guabiraba,Passarinho
Brejo de Beberibe,Dois Unidos
Brejo de Beberibe,Linha do Tiro
Brejo de Beberibe,Nova Descoberta
Brejo de Beberibe,Passarinho
Brejo de Beberibe,Vasco da Gama
Cabanga,Pina
Cabanga,São José
Cajueiro,Campina do Barreto
Cajueiro,Fundão
Cajueiro,Porto da Madeira
Campina do Barreto,Fundão
Campina do Barreto,Peixinhos
Campina do Barreto,Água Fria
Campo Grande,Encruzilhada
Campo Grande,Hipódromo
Campo Grande,Peixinhos
Campo Grande,Ponto de Parada
Campo Grande,Santo Amaro
Campo Grande,Torreão
Casa Amarela,Casa Forte
Casa Amarela,Mangabeira
Casa Amarela,Monteiro
Casa Amarela,Morro da Conceição
Casa Amarela,Nova Descoberta
Casa Amarela,Parnamirim
Casa Amarela,Poço
Casa Amarela,Tamarineira
Casa Amarela,Vasco da Gama
Casa Forte,Parnamirim
Casa Forte,Poço
Casa Forte,Santana
Caxangá,Dois Irmãos
Caxangá,Iputinga
Caxangá,Várzea
Caçote,Ibura
Caçote,Ipsep
Cidade Universitária,Curado
Cidade Universitária,Engenho do Meio
Cidade Universitária,Iputinga
Cidade Universitária,Várzea
Coelhos,Ilha Joana Bezerra
Coelhos,Ilha do Leite
Coelhos,Santo Antônio
Coelhos,São José
Coqueiral,Sancho
Coqueiral,Tejipió
Coqueiral,Totó
Cordeiro,Engenho do Meio
Cordeiro,Iputinga
Cordeiro,Poço
Cordeiro,Prado
Cordeiro,San Martin
Cordeiro,Santana
Cordeiro,Torre
Cordeiro,Torrões
Cordeiro,Zumbi
Curado,Engenho do Meio
Curado,Jardim São Paulo
Curado,San Martin
Curado,Sancho
Curado,Tejipió
Curado,Torrões
Curado,Totó
Curado,Várzea
Córrego do Jenipapo,Dois Irmãos
Córrego do Jenipapo,Guabiraba
Córrego do Jenipapo,Macaxeira
Córrego do Jenipapo,Nova Descoberta
Derby,Graças
Derby,Ilha do Retiro
Derby,Madalena
Derby,Paissandu
Dois Irmãos,Guabiraba
Dois Unidos,Linha do Tiro
Dois Unidos,Passarinho
Encruzilhada,Espinheiro
Encruzilhada,Graças
Encruzilhada,Hipódromo
Encruzilhada,Ponto de Parada
Encruzilhada,Rosarinho
Encruzilhada,Torreão
Engenho do Meio,Iputinga
Engenho do Meio,Torrões
Espinheiro,Graças
Espinheiro,Santo Amaro
Espinheiro,Torreão
Estância,Jardim São Paulo
Estância,Jiquiá
Estância,San Martin
Fundão,Porto da Madeira
Fundão,Água Fria
Graças,Jaqueira
Graças,Madalena
Graças,Rosarinho
Graças,Tamarineira
Graças,Torre
Guabiraba,Passarinho
Hipódromo,Ponto de Parada
Ibura,Imbiribeira
Ibura,Ipsep
Ibura,Jordão
Ilha Joana Bezerra,Ilha do Leite
Ilha Joana Bezerra,Ilha do Retiro
Ilha Joana Bezerra,Paissandu
Ilha Joana Bezerra,São José
Ilha do Leite,Paissandu
Ilha do Retiro,Madalena
Ilha do Retiro,Paissandu
Ilha do Retiro,Prado
Imbiribeira,Ipsep
Imbiribeira,Jiquiá
Imbiribeira,Pina
Iputinga,Monteiro
Iputinga,Poço
Iputinga,Várzea
Jaqueira,Parnamirim
Jaqueira,Santana
Jaqueira,Tamarineira
Jaqueira,Torre
Jardim São Paulo,Jiquiá
Jardim São Paulo,San Martin
Jardim São Paulo,Tejipió
Jiquiá,Mangueira
Jiquiá,San Martin
Linha do Tiro,Água Fria
Macaxeira,Nova Descoberta
Madalena,Paissandu
Madalena,Prado
Madalena,Torre
Madalena,Zumbi
Mangabeira,Tamarineira
Mangueira,Mustardinha
Mangueira,San Martin
Monteiro,Poço
Morro da Conceição,Vasco da Gama
Mustardinha,San Martin
Nova Descoberta,Vasco da Gama
Parnamirim,Santana
Parnamirim,Tamarineira
Pina,São José
Ponto de Parada,Rosarinho
Porto da Madeira,Água Fria
Poço,Santana
Prado,San Martin
Prado,Zumbi
Recife,Santo Amaro
Recife,Santo Antônio
Recife,São José
Rosarinho,Tamarineira
San Martin,Torrões
Sancho,Tejipió
Sancho,Totó
Santana,Torre
Santo Amaro,Santo Antônio
Santo Amaro,Soledade
Santo Amaro,Torreão
Santo Antônio,São José
Torre,Zumbi
