bairro_origem,bairro_destino,nome_logradouro
Aflitos,Encruzilhada,AV SANTOS DUMONT
Aflitos,Encruzilhada,RUA CARNEIRO VILELA
Aflitos,Encruzilhada,RUA CONS PORTELA
Aflitos,Encruzilhada,RUA QUARENTA E OITO
Aflitos,Encruzilhada,RUA SAMUEL CAMPELO
Aflitos,Encruzilhada,RUA TELES JUNIOR
Aflitos,Espinheiro,AV CONSELHEIRO ROSA E SILVA
Aflitos,Espinheiro,RUA CONS PORTELA
Aflitos,Espinheiro,RUA QUARENTA E OITO
Aflitos,Graças,AV CONSELHEIRO ROSA E SILVA
Aflitos,Graças,AV SANTOS DUMONT
Aflitos,Graças,RUA CONS PORTELA
Aflitos,Graças,RUA TELES JUNIOR
Afogados,Bongi,EST DO BONGI
Afogados,Bongi,RUA MARIA JOSE DE LIMA
Afogados,Bongi,RUA PADRE TEOFILO TWORZ
Afogados,Bongi,RUA PROFESSOR CELESTIN MALZAC
Afogados,Bongi,RUA SANTA EDWIRGES
Afogados,Cabanga,AV SUL GOV. CID SAMPAIO
Afogados,Cabanga,RUA PINA-RIO
Afogados,Ilha Joana Bezerra,AV CENTRAL
Afogados,Ilha Joana Bezerra,RUA CAPIBARIBE-RIO
Afogados,Ilha do Retiro,EST DOS REMEDIOS
Afogados,Ilha do Retiro,RUA CAPIBARIBE-RIO
Afogados,Ilha do Retiro,RUA PADRE TEOFILO TWORZ
Afogados,Imbiribeira,AV SUL GOV. CID SAMPAIO
Afogados,Imbiribeira,RUA TEJIPIO-RIO
Afogados,Jiquiá,AV CENTRAL
Afogados,Jiquiá,RUA BOM JARDIM
Afogados,Jiquiá,RUA JIQUIA-RIO
Afogados,Jiquiá,RUA SAO MIGUEL
Afogados,Jiquiá,RUA TEJIPIO-RIO
Afogados,Mangueira,AV CENTRAL
Afogados,Mangueira,RUA ALEXANDRE RODRIGUES FERREIRA
Afogados,Mangueira,RUA BOM JARDIM
Afogados,Mangueira,RUA JOAO LEITE
Afogados,Mangueira,RUA LUIZ FIGUEIROA
Afogados,Mangueira,RUA VEREADOR FRANCISCO DE PAULA SANTANA
Afogados,Mangueira,RUA VINTE E UM DE ABRIL
Afogados,Mustardinha,AV MUSTARDINHA
Afogados,Mustardinha,RUA ADOLFO BEZERRA
Afogados,Mustardinha,RUA APUCARANA
Afogados,Mustardinha,RUA CAPITAO ADOLFO TAQUIS
Afogados,Mustardinha,RUA CARLOPOLIS
Afogados,Mustardinha,RUA DES MEDEIROS CORREIA
Afogados,Mustardinha,RUA ERNESTO CAVALCANTI
Afogados,Mustardinha,RUA GUAIBA
Afogados,Mustardinha,RUA MARIA JOSE DE LIMA
Afogados,Mustardinha,RUA MARIO LIBANIO
Afogados,Mustardinha,RUA ORLANDIA
Afogados,Mustardinha,RUA RAIMUNDO JACO
Afogados,Mustardinha,RUA UBERABA
Afogados,Mustardinha,RUA VINTE E UM DE ABRIL
Afogados,Pina,RUA PINA-RIO
Afogados,Prado,EST DO BONGI
Afogados,Prado,RUA PADRE TEOFILO TWORZ
Afogados,Prado,RUA SANTA EDWIRGES
Afogados,São José,AV CENTRAL
Afogados,São José,AV SUL GOV. CID SAMPAIO
Afogados,São José,RUA CAPIBARIBE-RIO
Alto José Bonifácio,Alto José do Pinho,COR DO BARTOLOMEU
Alto José Bonifácio,Alto José do Pinho,RUA CORREGO JOSE GRANDE
Alto José Bonifácio,Alto José do Pinho,RUA PADRE OLIVEIRA
Alto José Bonifácio,Brejo de Beberibe,RUA URIEL DE HOLANDA
Alto José Bonifácio,Linha do Tiro,RUA ALTO DA SERRINHA
Alto José Bonifácio,Linha do Tiro,RUA BISMARCK DE FREITAS
Alto José Bonifácio,Linha do Tiro,RUA GUSTAVO BARROZO
Alto José Bonifácio,Linha do Tiro,RUA URIEL DE HOLANDA
Alto José Bonifácio,Morro da Conceição,COR DO BARTOLOMEU
Alto José Bonifácio,Morro da Conceição,RUA CORREGO DO EUCLIDES
Alto José Bonifácio,Morro da Conceição,RUA CORREGO DO OURO
Alto José Bonifácio,Vasco da Gama,RUA ALCANTARA MACHADO
Alto José Bonifácio,Vasco da Gama,RUA ALTO DO BAMBUI
Alto José Bonifácio,Vasco da Gama,RUA ALTO NOSSA SENHORA DE FATIMA
Alto José Bonifácio,Vasco da Gama,RUA ARATUBA
Alto José Bonifácio,Vasco da Gama,RUA ARY PETER
Alto José Bonifácio,Vasco da Gama,RUA BAULANADIA
Alto José Bonifácio,Vasco da Gama,RUA CORREGO DO OURO
Alto José Bonifácio,Vasco da Gama,RUA ENGENHO PAROL
Alto José Bonifácio,Vasco da Gama,TRV DO SABINO
Alto José do Pinho,Bomba do Hemetério,1TR ARLINDO CISNEIRO
Alto José do Pinho,Bomba do Hemetério,RUA ARLINDO CISNEIRO
Alto José do Pinho,Bomba do Hemetério,RUA CAMPOS BELOS
Alto José do Pinho,Bomba do Hemetério,RUA DES HERACLITO CAVALCANTI
Alto José do Pinho,Casa Amarela,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto José do Pinho,Mangabeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto José do Pinho,Mangabeira,RUA 2TR CHA DE ALEGRIA
Alto José do Pinho,Mangabeira,RUA ARIPIBU
Alto José do Pinho,Mangabeira,RUA AVENCA
Alto José do Pinho,Mangabeira,RUA BAGUARI
Alto José do Pinho,Mangabeira,RUA BARRA VERDE
Alto José do Pinho,Mangabeira,RUA DA MANGABEIRA
Alto José do Pinho,Mangabeira,RUA DES HERACLITO CAVALCANTI
Alto José do Pinho,Mangabeira,RUA DO RIO
Alto José do Pinho,Mangabeira,RUA LAGE DE UNA
Alto José do Pinho,Mangabeira,RUA MONTE HOREB
Alto José do Pinho,Mangabeira,RUA SEVERINO BERNARDINO PEREIRA
Alto José do Pinho,Morro da Conceição,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto José do Pinho,Morro da Conceição,COR DO BARTOLOMEU
Alto do Mandu,Apipucos,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto do Mandu,Apipucos,RUA MANDACARU
Alto do Mandu,Apipucos,RUA MASSARANDUBA
Alto do Mandu,Casa Amarela,AV DR EURICO CHAVES
Alto do Mandu,Casa Amarela,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto do Mandu,Macaxeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Alto do Mandu,Macaxeira,RUA AROEIRA
Alto do Mandu,Macaxeira,RUA MASSARANDUBA
Alto do Mandu,Monteiro,AV DR EURICO CHAVES
Alto do Mandu,Monteiro,RUA MANDACARU
Alto do Mandu,Monteiro,RUA QUATRO DE MARCO
Alto do Mandu,Monteiro,RUA SIRIJI
Alto do Mandu,Monteiro,RUA TRAMANDAI
Alto do Mandu,Nova Descoberta,AV NORTE MIGUEL ARRAES DE ALENCAR
Apipucos,Caxangá,AV DA RECUPERACAO
Apipucos,Caxangá,RUA CAPIBARIBE-RIO
Apipucos,Córrego do Jenipapo,AV DA RECUPERACAO
Apipucos,Córrego do Jenipapo,AV NORTE MIGUEL ARRAES DE ALENCAR
Apipucos,Córrego do Jenipapo,ROD BR CENTO E UM
Apipucos,Dois Irmãos,AV DA RECUPERACAO
Apipucos,Dois Irmãos,ENT COMPLEXO DA MACAXEIRA
Apipucos,Dois Irmãos,ENT DA BR101 - AV NORTE
Apipucos,Dois Irmãos,ROD BR CENTO E UM
Apipucos,Dois Irmãos,RUA DOIS IRMAOS
Apipucos,Iputinga,ROD BR CENTO E UM
Apipucos,Iputinga,RUA CAPIBARIBE-RIO
Apipucos,Macaxeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Apipucos,Macaxeira,RUA CORONEL JOAO BATISTA DO REGO BARROS
Apipucos,Macaxeira,RUA CORRENTEZA
Apipucos,Macaxeira,RUA DO BANHO
Apipucos,Macaxeira,RUA DOLCINOPOLIS
Apipucos,Macaxeira,RUA DOLORES SALGADO
Apipucos,Macaxeira,RUA DR ANAURO DORNELLAS CAMARA
Apipucos,Macaxeira,RUA MASSARANDUBA
Apipucos,Monteiro,RUA CAPIBARIBE-RIO
Apipucos,Monteiro,RUA DE APIPUCOS
Apipucos,Monteiro,RUA MANDACARU
Areias,Barro,AV CENTRAL
Areias,Barro,AV DES NESTOR DIOGENES DE MELLO
Areias,Barro,AV DR JOSE RUFINO
Areias,Barro,RUA ARMANDO SALES DE OLIVEIRA
Areias,Barro,RUA CORONEL LAMENHA
Areias,Barro,RUA DR VILAS BOAS
Areias,Barro,RUA JOSE NATARIO
Areias,Barro,RUA TEJIPIO-RIO
Areias,Caçote,AV CAPITAO GREGORIO DE CALDAS
Areias,Caçote,AV RECIFE
Areias,Caçote,RUA AURORA CACOTE
Areias,Caçote,RUA DONA ANA AURORA
Areias,Caçote,RUA TEJIPIO-RIO
Areias,Estância,AV CENTRAL
Areias,Estância,AV DR JOSE RUFINO
Areias,Estância,AV ESTANCIA
Areias,Estância,AV RECIFE
Areias,Estância,AV TAPAJOS
Areias,Estância,RUA DR ADELINO FILHO
Areias,Ibura,AV RECIFE
Areias,Ibura,RUA TEJIPIO-RIO
Areias,Imbiribeira,RUA TEJIPIO-RIO
Areias,Ipsep,AV RECIFE
Areias,Ipsep,RUA TEJIPIO-RIO
Areias,Jardim São Paulo,AV CENTRAL
Areias,Jardim São Paulo,AV RECIFE
Areias,Jiquiá,AV CENTRAL
Areias,Jiquiá,AV DR JOSE RUFINO
Areias,Jiquiá,AV TAPAJOS
Areias,Jiquiá,RUA TEJIPIO-RIO
Arruda,Bomba do Hemetério,EST VELHA DE AGUA FRIA
Arruda,Bomba do Hemetério,RUA DES HERACLITO CAVALCANTI
Arruda,Bomba do Hemetério,RUA JACOB
Arruda,Bomba do Hemetério,RUA PROFESSOR MANUEL TORRES
Arruda,Campina do Barreto,RUA DAS MOCAS
Arruda,Campina do Barreto,RUA EXP JAMIL DAGLI
Arruda,Campo Grande,AV PROFESSOR JOSE DOS ANJOS
Arruda,Campo Grande,RUA PETRONILA BOTELHO
Arruda,Mangabeira,AV PROFESSOR JOSE DOS ANJOS
Arruda,Mangabeira,RUA DES HERACLITO CAVALCANTI
Arruda,Mangabeira,RUA JACOB
Arruda,Peixinhos,AV PROFESSOR JOSE DOS ANJOS
Arruda,Peixinhos,RUA EXP JAMIL DAGLI
Arruda,Ponto de Parada,AV BEBERIBE
Arruda,Ponto de Parada,AV PROFESSOR JOSE DOS ANJOS
Arruda,Ponto de Parada,RUA PETRONILA BOTELHO
Arruda,Rosarinho,AV PROFESSOR JOSE DOS ANJOS
Arruda,Tamarineira,AV PROFESSOR JOSE DOS ANJOS
Arruda,Tamarineira,EST VELHA DE AGUA FRIA
Arruda,Água Fria,AV BEBERIBE
Arruda,Água Fria,EST VELHA DE AGUA FRIA
Arruda,Água Fria,RUA ALEGRE
Arruda,Água Fria,RUA BOM CONSELHO
Arruda,Água Fria,RUA DA REGENERACAO
Arruda,Água Fria,RUA DAS MOCAS
Arruda,Água Fria,RUA DO MACHADO
Arruda,Água Fria,RUA EXP JAMIL DAGLI
Arruda,Água Fria,RUA RAUL POMPEIA
Arruda,Água Fria,RUA SAO BENTO
Arruda,Água Fria,RUA ZEFERINO AGRA
Barro,Ibura,ROD BR CENTO E UM
Barro,Ibura,RUA TEJIPIO-RIO
Barro,Jardim São Paulo,AV CENTRAL
Barro,Jardim São Paulo,ROD BR CENTO E UM
Barro,Tejipió,AV CENTRAL
Barro,Tejipió,AV DR JOSE RUFINO
Barro,Tejipió,ROD BR CENTO E UM
Barro,Tejipió,RUA BABACULANDIA
Barro,Tejipió,RUA BARAO DE LADARIO
Barro,Tejipió,RUA CAPY
Barro,Tejipió,RUA DA ESPERANCA
Barro,Tejipió,RUA TEJIPIO-RIO
Beberibe,Dois Unidos,AV HILDEBRANDO DE VASCONCELOS
Beberibe,Dois Unidos,RUA BEBERIBE-RIO
Beberibe,Dois Unidos,RUA MORNO-RIO
Beberibe,Linha do Tiro,AV ANIBAL BENEVOLO
Beberibe,Linha do Tiro,AV HILDEBRANDO DE VASCONCELOS
Beberibe,Linha do Tiro,RUA ALTO DOS COQUEIROS
Beberibe,Linha do Tiro,RUA MORNO-RIO
Beberibe,Linha do Tiro,RUA URIEL DE HOLANDA
Beberibe,Porto da Madeira,AV ANIBAL BENEVOLO
Beberibe,Porto da Madeira,AV BEBERIBE
Beberibe,Porto da Madeira,RUA BEBERIBE-RIO
Beberibe,Porto da Madeira,RUA DO ANIL
Beberibe,Porto da Madeira,RUA DONA VIRTUOSA DE LUCENA
Beberibe,Porto da Madeira,RUA MARAJO
Beberibe,Água Fria,AV ANIBAL BENEVOLO
Beberibe,Água Fria,AV BEBERIBE
Boa Viagem,Ibura,AV MARECHAL MASCARENHAS DE MORAES
Boa Viagem,Imbiribeira,AV DES JOSE NEVES
Boa Viagem,Imbiribeira,AV DOM JOAO VI
Boa Viagem,Imbiribeira,AV MARECHAL MASCARENHAS DE MORAES
Boa Viagem,Imbiribeira,AV SUL GOV. CID SAMPAIO
Boa Viagem,Imbiribeira,RUA ADAUTO CARNEIRO LEAL
Boa Viagem,Imbiribeira,RUA BARAO DE TEFE
Boa Viagem,Imbiribeira,RUA CAPITAO VICENTE DA MOTA
Boa Viagem,Imbiribeira,RUA DOS TIJOLOS
Boa Viagem,Imbiribeira,RUA DR LUIZ CORREA DE OLIVEIRA
Boa Viagem,Imbiribeira,RUA ELADIO RAMOS
Boa Viagem,Imbiribeira,RUA JORDAO-RIO
Boa Viagem,Jordão,AV MARECHAL MASCARENHAS DE MORAES
Boa Viagem,Jordão,RUA CANAL DO JORDAO
Boa Viagem,Pina,AV BOA VIAGEM
Boa Viagem,Pina,AV CONS AGUIAR
Boa Viagem,Pina,AV ENGENHEIRO DOMINGOS FERREIRA
Boa Viagem,Pina,RUA AMAZONAS
Boa Viagem,Pina,RUA DELEGADO TERCIO SOARES DE AQUINO
Boa Viagem,Pina,RUA JORDAO-RIO
Boa Viagem,Pina,RUA PINA-RIO
Boa Viagem,Pina,RUA PRAIA DE BOA VIAGEM
Boa Viagem,Pina,RUA TOME GIBSON
Boa Vista,Coelhos,RUA DO JASMIM
Boa Vista,Coelhos,RUA DOS COELHOS
Boa Vista,Coelhos,RUA DR JOSE MARIANO
Boa Vista,Coelhos,RUA JORNALISTA EDMUNDO BITTENCOURT
Boa Vista,Coelhos,RUA JOSE DE ALENCAR
Boa Vista,Derby,AV GOVERNADOR AGAMENON MAGALHAES
Boa Vista,Derby,RUA HENRIQUE DIAS
Boa Vista,Derby,RUA PAISSANDU
Boa Vista,Espinheiro,AV GOVERNADOR AGAMENON MAGALHAES
Boa Vista,Espinheiro,AV JOAO DE BARROS
Boa Vista,Graças,AV GOVERNADOR AGAMENON MAGALHAES
Boa Vista,Ilha do Leite,AV GOVERNADOR AGAMENON MAGALHAES
Boa Vista,Ilha do Leite,RUA GENERAL JOAQUIM INACIO
Boa Vista,Ilha do Leite,RUA JOSE DE ALENCAR
Boa Vista,Ilha do Leite,RUA MARQUES AMORIM
Boa Vista,Ilha do Leite,RUA VISCONDE DE GOIANA
Boa Vista,Paissandu,AV GOVERNADOR AGAMENON MAGALHAES
Boa Vista,Paissandu,AV LINS PETIT
Boa Vista,Paissandu,RUA GENERAL JOAQUIM INACIO
Boa Vista,Paissandu,RUA PAISSANDU
Boa Vista,Santo Amaro,AV GOVERNADOR AGAMENON MAGALHAES
Boa Vista,Santo Amaro,AV JOAO DE BARROS
Boa Vista,Santo Amaro,RUA BISPO CARDOSO AYRES
Boa Vista,Santo Amaro,RUA DA AURORA
Boa Vista,Santo Amaro,RUA DA SAUDADE
Boa Vista,Santo Amaro,RUA DA UNIAO
Boa Vista,Santo Amaro,RUA DO HOSPICIO
Boa Vista,Santo Amaro,RUA DO PRINCIPE
Boa Vista,Santo Amaro,RUA DO SOSSEGO
Boa Vista,Santo Amaro,RUA GERVASIO PIRES
Boa Vista,Santo Amaro,RUA PRINCESA ISABEL
Boa Vista,Santo Antônio,RUA DA AURORA
Boa Vista,Santo Antônio,RUA DR JOSE MARIANO
Boa Vista,Santo Antônio,RUA PRINCESA ISABEL
Boa Vista,Soledade,AV CONDE DA BOA VISTA
Boa Vista,Soledade,AV JOAO DE BARROS
Boa Vista,Soledade,AV MANOEL BORBA
Boa Vista,Soledade,RUA BARAO DE SAO BORJA
Boa Vista,Soledade,RUA BISPO CARDOSO AYRES
Boa Vista,Soledade,RUA CORREDOR DO BISPO
Boa Vista,Soledade,RUA DA SOLEDADE
Boa Vista,Soledade,RUA DAS NINFAS
Boa Vista,Soledade,RUA DO PRINCIPE
Boa Vista,Soledade,RUA DO PROGRESSO
Boa Vista,Soledade,RUA GERVASIO PIRES
Boa Vista,Soledade,RUA GONCALVES MAIA
Boa Vista,Soledade,RUA JOAO FERNANDES VIEIRA
Boa Vista,Soledade,RUA JOAQUIM FELIPE
Boa Vista,Soledade,RUA OSVALDO CRUZ
Bomba do Hemetério,Mangabeira,RUA DES HERACLITO CAVALCANTI
Bomba do Hemetério,Mangabeira,RUA JACOB
Bomba do Hemetério,Água Fria,3TR SAO SEBASTIAO
Bomba do Hemetério,Água Fria,COR PASTOR EV BENOBY CARVALHO DE SOUZA
Bomba do Hemetério,Água Fria,EST VELHA DE AGUA FRIA
Bomba do Hemetério,Água Fria,RUA ALINE
Bomba do Hemetério,Água Fria,RUA ANTONIO MEIRA
Bomba do Hemetério,Água Fria,RUA ARAPIXUNA
Bomba do Hemetério,Água Fria,RUA AVELAR
Bomba do Hemetério,Água Fria,RUA CONDE DE SABUGOSA
Bomba do Hemetério,Água Fria,RUA CORREGO JOAO FRANCISCO
Bomba do Hemetério,Água Fria,RUA RIOLANDIA
Bomba do Hemetério,Água Fria,RUA RUI FRAZAO
Bomba do Hemetério,Água Fria,RUA SAO JOSE DA COROA GRANDE
Bomba do Hemetério,Água Fria,RUA SAO RAFAEL
Bomba do Hemetério,Água Fria,RUA SAO SEBASTIAO
Bomba do Hemetério,Água Fria,RUA TAMBOARA
Bomba do Hemetério,Água Fria,RUA TURIUBA
Bomba do Hemetério,Água Fria,RUA VENUS
Bongi,Mustardinha,AV CONSUL VILARES FRAGOSO
Bongi,Mustardinha,AV MANOEL GONCALVES DA LUZ
Bongi,Mustardinha,RUA DR JOAO COSTA
Bongi,Mustardinha,RUA ITAPOLIS
Bongi,Mustardinha,RUA JOAO TRAJANO DA SILVA
Bongi,Mustardinha,RUA MAJOR MARIO PORTELA
Bongi,Mustardinha,RUA MARIA JOSE DE LIMA
Bongi,Mustardinha,RUA MOREIRA REIS
Bongi,Prado,AV ENGENHEIRO ABDIAS DE CARVALHO
Bongi,Prado,EST DO BONGI
Bongi,Prado,RUA CARLOS GOMES
Bongi,Prado,RUA DR SEVERINO JATOBA
Bongi,Prado,RUA JOAQUIM DA SILVA CALDAS
Bongi,Prado,RUA PADRE TEOFILO TWORZ
Bongi,Prado,RUA PROFESSOR MARIO RAMOS
Bongi,Prado,RUA RANDOLFO PINTO FERREIRA
Bongi,Prado,RUA SANTA EDWIRGES
Bongi,Prado,TRV ESTRADA DO BONGI
Bongi,San Martin,AV CONSUL VILARES FRAGOSO
Bongi,San Martin,AV ENGENHEIRO ABDIAS DE CARVALHO
Bongi,San Martin,RUA ACAJUTIBA
Bongi,San Martin,RUA DONA MARIA AUGUSTA NOGUEIRA
Bongi,San Martin,RUA ISAAC MARKMAN
Bongi,San Martin,RUA ITAPEMIRIM
Brasília Teimosa,Pina,RUA BACIA DO PINA
Brasília Teimosa,Pina,RUA COMENDADOR MORAES
Brasília Teimosa,Pina,RUA COPAIBA
Brasília Teimosa,Pina,RUA DELFIM
Brasília Teimosa,Pina,RUA DENTUDO
Brasília Teimosa,Pina,RUA FRANCISCO VALPASSOS
Brasília Teimosa,Pina,RUA ROBALO
Brasília Teimosa,Recife,DIQ DO RECIFE
Brasília Teimosa,Recife,RUA PRAIA DO PINA
Brasília Teimosa,São José,RUA BACIA DO PINA
Brejo da Guabiraba,Brejo de Beberibe,AV PRESIDENTE CAFE FILHO
Brejo da Guabiraba,Brejo de Beberibe,AV VEREADOR OTACILIO AZEVEDO
Brejo da Guabiraba,Brejo de Beberibe,RUA ALTO DO REFUGIO
Brejo da Guabiraba,Brejo de Beberibe,RUA FRANCISCO CAMARINO
